"","Year","date","Month","Load","temp","RH","rsds","wspd","Wday"
"540","2018",2018-06-24,"June",11071243.906,31.0833333333334,58.8866666666667,265.583333333333,4.15154166666667,1
"541","2018",2018-06-25,"June",11376010.0629999,30.9375,54.9954166666667,281.958333333333,3.89208333333333,0
"542","2018",2018-06-26,"June",11998729.1200002,31.6,58.1616666666667,268.875,3.19,0
"543","2018",2018-06-27,"June",10793735.568,28.2083333333334,71.3083333333333,218.458333333333,3.532875,0
"544","2018",2018-06-28,"June",10461768.2699998,27.8458333333334,73.3608333333333,257.75,2.52891666666667,0
"545","2018",2018-06-29,"June",10791372.9800002,29.7541666666667,67.16875,262.791666666667,3.88770833333333,0
"546","2018",2018-06-30,"June",11114330.0309999,30.075,64.39375,268.875,3.99375,1
"547","2018",2018-07-01,"July",10046039.0940001,29.2625,64.3795833333333,260.125,3.61970833333333,1
"548","2018",2018-07-02,"July",11454464.2489999,29.8875,65.2545833333333,254.75,3.40270833333333,0
"549","2018",2018-07-03,"July",11531161.2490001,27.9708333333334,72.52875,188.666666666667,3.30579166666667,0
"550","2018",2018-07-04,"July",11880668.9999998,28.6041666666667,74.1133333333333,170.458333333333,1.91341666666667,0
"551","2018",2018-07-05,"July",11847085,30.2833333333334,66.5470833333333,263.333333333333,3.11920833333333,0
"552","2018",2018-07-06,"July",12579310.544,29.075,70.3254166666667,230.791666666667,3.87058333333333,0
"553","2018",2018-07-07,"July",11404690.422,28.1333333333334,76.5104166666667,177.458333333333,1.961,1
"554","2018",2018-07-08,"July",10762146.7030001,29.075,75.0008333333333,217.5,2.423375,1
"555","2018",2018-07-09,"July",11907604.7189999,28.2375,73.72,219.041666666667,3.56829166666667,0
"556","2018",2018-07-10,"July",12058913.937,28.9458333333334,70.9383333333333,240.458333333333,2.83429166666667,0
"557","2018",2018-07-11,"July",11878011.7500001,29.1416666666667,71.8645833333333,258.25,2.45820833333333,0
"558","2018",2018-07-12,"July",12211472.2499998,29.9166666666667,69.1583333333333,236.375,4.63775,0
"559","2018",2018-07-13,"July",11974828.6250001,29.1666666666667,69.9791666666667,259.291666666667,3.44804166666667,0
"560","2018",2018-07-14,"July",11692942.7500002,30.4166666666667,68.0229166666667,263.916666666667,2.32795833333333,1
"561","2018",2018-07-15,"July",11510527.3749998,30.4625,67.5679166666667,229.666666666667,5.19995833333333,1
"562","2018",2018-07-16,"July",11594979.75,29.8583333333334,67.2154166666667,261.291666666667,5.08558333333333,0
"563","2018",2018-07-17,"July",12295139.344,29.5833333333334,68.18125,255.625,3.868875,0
"564","2018",2018-07-18,"July",12294982.438,28.8666666666667,73.2045833333333,202.291666666667,3.14675,0
"565","2018",2018-07-19,"July",11904590.6560001,27.15,81.9454166666667,161.375,2.12825,0
"566","2018",2018-07-20,"July",12099986.1879998,28.6625,77.4945833333333,216.875,2.8025,0
"567","2018",2018-07-21,"July",11419506.1870002,28.5,74.125,227.291666666667,3.10633333333333,1
"568","2018",2018-07-22,"July",10719244.0309999,28.65,73.9133333333333,215.291666666667,2.39441666666667,1
"569","2018",2018-07-23,"July",12129927.7810001,28.9625,73.70375,210.5,3.57804166666667,0
"570","2018",2018-07-24,"July",12383898.4999998,28.1291666666667,78.6429166666667,168.416666666667,3.37029166666667,0
"571","2018",2018-07-25,"July",12329666.469,28.7083333333334,73.6529166666667,240.166666666667,4.08841666666667,0
"572","2018",2018-07-26,"July",12141020.0320001,28.5125,70.61625,262.541666666667,4.65975,0
"573","2018",2018-07-27,"July",12166148.625,28.4875,70.5920833333333,247.541666666667,4.22729166666667,0
"574","2018",2018-07-28,"July",11331495.4369998,27.8458333333334,76.2495833333333,189,3.03625,1
"575","2018",2018-07-29,"July",11168470.562,27.7291666666667,78.5891666666667,220.041666666667,2.27075,1
"576","2018",2018-07-30,"July",12224725.8450001,28.9541666666667,74.9470833333333,280.958333333333,2.87079166666667,0
"577","2018",2018-07-31,"July",12748855.7810001,29.5458333333334,74.3695833333333,221.25,4.833,0
"578","2018",2018-08-01,"August",12629428.4999999,28.9541666666667,75.8458333333333,184,5.048375,0
